dataset_type,density,model,noise_level,method,mse,chamfer_distance,max_error,mean_error,normal_consistency,density_ratio
synthetic,D01,cube,L03,Guided Filter,0.00016713809301408498,0.012171757270230626,0.01732050807568878,0.012928189858370931,0.9951194022810915,0.4959994710044303
synthetic,D01,cube,L03,bipartite_graph_denoising,0.0002238638166394242,0.012973632454741028,0.026746143234314686,0.014962079288635794,0.9929724776043635,0.4959994710044303
synthetic,D01,cube,L03,Weighted multi projection,0.00016713809301408498,0.012171757270230626,0.01732050807568878,0.012928189858370931,0.9951194022810915,0.4959994710044303
synthetic,D01,cube,L04,Noisy,0.00026175626202816846,0.014915364610564964,0.02165063509461097,0.01617888321325574,0.9884226651498393,0.3174634662434702
synthetic,D01,cube,L04,Bilateral,0.0002713556576581214,0.014807215695552007,0.038855738918987526,0.016472876423324536,0.9881752402787812,0.3174634662434702
synthetic,D01,cube,L04,Guided Filter,0.00026175626202816846,0.014915364610564964,0.02165063509461097,0.01617888321325574,0.9884226651498393,0.3174634662434702
synthetic,D01,cube,L04,bipartite_graph_denoising,0.0003511186962199944,0.015885159750834273,0.03521664415591481,0.018738161495194625,0.9887539527990966,0.3174634662434702
synthetic,D01,cube,L04,Weighted multi projection,0.00026175626202816846,0.014915364610564964,0.02165063509461097,0.01617888321325574,0.9884226651498393,0.3174634662434702
synthetic,D01,dragon,L01,Noisy,1.4139546286111765e-05,0.003570683892685925,0.006495190528383308,0.0037602588057355528,0.9871055704077967,0.9064701278372033
synthetic,D01,dragon,L01,Bilateral,1.9249189233982452e-05,0.003930842099088465,0.012013256812238929,0.004387389797360437,0.9811024298623433,0.9064701278372033
synthetic,D01,dragon,L01,Guided Filter,2.6289605697019906e-05,0.004189250523461632,0.012323332600725052,0.005127339046427484,0.978733232122644,0.9064701278372033
synthetic,D01,dragon,L01,bipartite_graph_denoising,3.093920956408153e-05,0.004384569996590468,0.013149491564166553,0.005562302541581277,0.9761463803613085,0.9064701278372033
synthetic,D01,dragon,L01,Weighted multi projection,2.6289605697019906e-05,0.004189250523461632,0.012323332600725052,0.005127339046427484,0.978733232122644,0.9064701278372033
synthetic,D01,dragon,L02,Noisy,2.552952998034593e-05,0.004703619401583379,0.008660254037844388,0.0050526755269209534,0.9784703227498264,0.7168884250804418
synthetic,D01,dragon,L02,Bilateral,2.6444206885166706e-05,0.004438732318095951,0.016200205159539644,0.005142393108774037,0.9721934588780784,0.7168884250804418
synthetic,D01,dragon,L02,Guided Filter,2.776561125401347e-05,0.004751429193102537,0.012198435815557953,0.005269308422745196,0.9766328240009697,0.7168884250804418
